PartitionKey,RowKey,purpose,purpose@type,request_id,request_id@type,provider,provider@type,model_name,model_name@type,model_tier,model_tier@type,job_id,job_id@type,repo_name,repo_name@type,budget_completion_tokens,budget_completion_tokens@type,prompt_tokens_estimated,prompt_tokens_estimated@type,prompt_tokens,prompt_tokens@type,completion_tokens,completion_tokens@type,total_tokens,total_tokens@type,finish_reason,finish_reason@type,was_truncated,was_truncated@type,status,status@type,error,error@type,error_details,error_details@type,created_at,created_at@type,updated_at,updated_at@type
yungryce,get_repo_micro_summary|2026-03-06T17-30-11.611344_00-00|repo-micro-1772818211,get_repo_micro_summary,,repo-micro-1772818211,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-files_manager,,2000,,1436,,1413,,2000,,3413,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:25.531772+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-11.611344_00-00,,2026-03-06T17-30-25.531797_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-11.623252_00-00|repo-micro-1772818211,get_repo_micro_summary,,repo-micro-1772818211,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-system_engineering-devops,,2000,,1301,,1274,,2000,,3274,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:27.828170+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-11.623252_00-00,,2026-03-06T17-30-27.828180_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-12.362923_00-00|repo-micro-1772818212,get_repo_micro_summary,,repo-micro-1772818212,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-higher_level_programming,,2000,,1302,,1355,,2000,,3355,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:26.230143+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-12.362923_00-00,,2026-03-06T17-30-26.230175_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-12.462824_00-00|repo-micro-1772818212,get_repo_micro_summary,,repo-micro-1772818212,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend-javascript,,2000,,1554,,1654,,2000,,3654,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:25.673974+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-12.462824_00-00,,2026-03-06T17-30-25.673986_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-12.526875_00-00|repo-micro-1772818212,get_repo_micro_summary,,repo-micro-1772818212,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend-storage,,2000,,1321,,1349,,2000,,3349,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:25.629911+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-12.526875_00-00,,2026-03-06T17-30-25.629928_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-12.561843_00-00|repo-micro-1772818212,get_repo_micro_summary,,repo-micro-1772818212,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,AirBnB_clone_v3,,2000,,1467,,1709,,2000,,3709,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:25.434918+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-12.561843_00-00,,2026-03-06T17-30-25.434937_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-12.601728_00-00|repo-micro-1772818212,get_repo_micro_summary,,repo-micro-1772818212,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend,,2000,,1474,,1548,,2000,,3548,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:26.373901+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-12.601728_00-00,,2026-03-06T17-30-26.373922_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-13.080363_00-00|repo-micro-1772818213,get_repo_micro_summary,,repo-micro-1772818213,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,AirBnB_clone,,2000,,883,,932,,2000,,2932,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:26.308487+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-13.080363_00-00,,2026-03-06T17-30-26.308502_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-13.139856_00-00|repo-micro-1772818213,get_repo_micro_summary,,repo-micro-1772818213,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,AirBnB_clone_v4,,2000,,1320,,1423,,2000,,3423,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:26.161847+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-13.139856_00-00,,2026-03-06T17-30-26.161859_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-13.208083_00-00|repo-micro-1772818213,get_repo_micro_summary,,repo-micro-1772818213,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,AirBnB_clone_v2,,2000,,1183,,1418,,2000,,3418,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:26.640219+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-13.208083_00-00,,2026-03-06T17-30-26.640232_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-16.084533_00-00|repo-micro-1772818216,get_repo_micro_summary,,repo-micro-1772818216,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,authentication-FA,,2000,,1332,,1232,,2000,,3232,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:30.051445+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-16.084533_00-00,,2026-03-06T17-30-30.051482_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-16.134940_00-00|repo-micro-1772818216,get_repo_micro_summary,,repo-micro-1772818216,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,alx-backend-user-data,,2000,,1519,,1395,,2000,,3395,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:29.169070+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-16.134940_00-00,,2026-03-06T17-30-29.169104_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-27.867195_00-00|repo-micro-1772818227,get_repo_micro_summary,,repo-micro-1772818227,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,binary_trees,,2000,,1281,,1253,,2000,,3253,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:41.465387+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-27.867195_00-00,,2026-03-06T17-30-41.465403_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-27.898059_00-00|repo-micro-1772818227,get_repo_micro_summary,,repo-micro-1772818227,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,monty,,2000,,1299,,1355,,2000,,3355,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:40.567316+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-27.898059_00-00,,2026-03-06T17-30-40.567374_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.018985_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,portfolio-api,,2000,,833,,761,,2000,,2761,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:41.451030+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.018985_00-00,,2026-03-06T17-30-41.451076_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.029702_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,Bincom-Assessment,,2000,,1337,,1286,,2000,,3286,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:43.013222+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.029702_00-00,,2026-03-06T17-30-43.013255_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.039263_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,imageProcessor-FA,,2000,,1324,,1246,,1892,,3138,,stop,,false,,completed,,,,,,2026-03-06T17-30-28.039263_00-00,,2026-03-06T17-30-41.205077_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.066127_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,Email_FA,,2000,,1323,,1272,,2000,,3272,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:39.376501+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.066127_00-00,,2026-03-06T17-30-39.376556_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.133799_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,Fix_My_Code_Challenge,,2000,,1331,,1388,,1744,,3132,,stop,,false,,completed,,,,,,2026-03-06T17-30-28.133799_00-00,,2026-03-06T17-30-40.633806_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.158006_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,backend_assesment,,2000,,1525,,1461,,2000,,3461,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:42.961732+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.158006_00-00,,2026-03-06T17-30-42.961749_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.230754_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,porfolio-php,,2000,,1358,,1331,,2000,,3331,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:41.293831+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.230754_00-00,,2026-03-06T17-30-41.293843_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.233767_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,azure_vmss_cluster,,2000,,1297,,1267,,2000,,3267,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:41.908479+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.233767_00-00,,2026-03-06T17-30-41.908531_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.270885_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,Frontend_Apps,,2000,,310,,324,,2000,,2324,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:42.460292+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.270885_00-00,,2026-03-06T17-30-42.460305_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.348990_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,collabHub-Laravel,,2000,,1412,,1345,,2000,,3345,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:42.431951+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.348990_00-00,,2026-03-06T17-30-42.431967_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.417452_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,portfolio,,2000,,758,,747,,2000,,2747,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:43.446491+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.417452_00-00,,2026-03-06T17-30-43.446518_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.658842_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,collabHub,,2000,,1685,,1658,,2000,,3658,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:41.767550+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.658842_00-00,,2026-03-06T17-30-41.767585_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-28.982630_00-00|repo-micro-1772818228,get_repo_micro_summary,,repo-micro-1772818228,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,foliohive,,2000,,1211,,1329,,2000,,3329,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:41.947444+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-28.982630_00-00,,2026-03-06T17-30-41.947464_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-29.083468_00-00|repo-micro-1772818229,get_repo_micro_summary,,repo-micro-1772818229,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,cloudfolio-v0.2.0,,2000,,1569,,1621,,2000,,3621,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:41.417218+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-29.083468_00-00,,2026-03-06T17-30-41.417251_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-39.397759_00-00|repo-micro-1772818239,get_repo_micro_summary,,repo-micro-1772818239,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,Email_FA,,2000,,1323,,1272,,2000,,3272,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:52.527687+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-39.397759_00-00,,2026-03-06T17-30-52.527699_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-40.582217_00-00|repo-micro-1772818240,get_repo_micro_summary,,repo-micro-1772818240,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,monty,,2000,,1299,,1355,,2000,,3355,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:53.645020+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-40.582217_00-00,,2026-03-06T17-30-53.645094_00-00,
yungryce,get_repo_micro_summary|2026-03-06T17-30-41.298497_00-00|repo-micro-1772818241,get_repo_micro_summary,,repo-micro-1772818241,,openai,,gpt-5-nano,,default,,e6308897-f102-43bb-996d-eba2756dd485,,porfolio-php,,2000,,1358,,1331,,2000,,3331,,length,,true,,failed,,response_truncated,,"[{""timestamp"":""2026-03-06T17:30:55.650263+00:00"",""type"":""response_truncated"",""finish_reason"":""length"",""message"":""Response truncated (hit max_completion_tokens=2000). Returned 0 chars.""}]",,2026-03-06T17-30-41.298497_00-00,,2026-03-06T17-30-55.650287_00-00,
